data_index,用户名,评论日期,电脑配置,评论内容,有用数,重复购买情况,评分,内存,硬盘,屏幕大小
1689,花漾年华_欢乐x570,2025-10-23,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,商品质量超棒，完全超出了我的预期！价格实惠，性价比超高。发货很快，下单没多久就收到了，不错不错！商家的服务极其耐心。配货速度快得让人惊喜，很快就收到。包装精也十分用心，商品功能完整，质量一流，太棒啦！,0,该店铺购买≥2次,5,16G,1T,UNK
1690,雯鑫__,2025-10-26,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,1. 性能党首选：RTX显卡+强芯，3A大作流畅跑，散热给力不卡顿！2. 全能生产力：办公多开无压力，游戏画质顶，2.5K高刷屏超爽！3. 口碑款实锤：性能颜值双在线，接口丰富，联想品控信得过！,0,否,5,16G,1T,UNK
1691,u_nzzawurc6rq9,2025-11-03,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,包装非常好，外形简约大气，画面品质清晰，运行速度很快。外接方便。散热也快。,0,该店铺购买≥2次,5,16G,1T,UNK
1692,jd_uy87136iibf969,2025-11-06,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,终于等到了，心心念念的，很不错，包装非常好，物流也很快上午下单下午到，外观也很好看，品质不错,0,否,5,16G,1T,UNK
1693,jd_251k32zgd8vn20,2025-11-23,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,做了很久的攻略终于觉得买这款拯救者，对我小新来说够用了，而且是联想大品牌，相信大品牌,0,否,5,16G,1T,UNK
1694,倾***華,2026-01-13,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,安全下车。黑色的机身整体很有质感，运行流畅，键盘灯光很亮，非常喜欢[大笑R]到货也很快。现在有国补，价格也可以，早买早享受！！！,0,否,5,16G,1T,UNK
1695,j***5,2025-12-08,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,第一次买笔记本电脑选了好久还是决定买拯救者，平时用的不多拿来娱乐一下，这个游戏本很轻巧，玩起游戏来也很流畅。包装保护：保护的很好没有破损外形外观：是很经典的耐脏黑色游戏效果：大型游戏丝滑不掉帧,0,否,5,16G,1T,UNK
1696,6***j,2025-11-08,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,电脑很不错，运行速度超级快，操作起来很流畅，游戏玩得真给力，值得拥有。,0,否,5,16G,1T,UNK
1697,oews9bz1h3m0gu,2025-12-22,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,1.?开机秒速超流畅，屏幕清晰色彩准，办公追剧太香了！2.?颜值高机身轻薄，性能稳定不卡顿，学生党闭眼入不亏！3.?续航持久散热棒，操作丝滑无噪音，性价比高,0,否,5,16G,1T,UNK
1698,j***d,2025-11-28,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,买这台电脑是为了办公用，特意用了半个月之后再来评价的。外形外观：拯救者的品控没得说，外观很大气，非常适合年轻人。运行速度：系统很流畅，而且赠送了免费的正版的office365，性价比还可以。推荐购买,0,该店铺购买≥2次,5,16G,1T,UNK
1699,f78nod0x0r0poy,2025-11-29,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,下午下单第二天早上就到了。噪音很小，屏幕素质不错，是京东方。,0,否,5,16G,1T,UNK
1700,d0cfs0ybil1r47,2025-11-01,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,官方渠道，正品无疑，外观完好，新机，正在开机试完，更多使用感受售后补充。,0,该店铺购买≥2次,5,16G,1T,UNK
1701,juuzxkt8028z4t,2025-11-06,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,昨天晚上下单，今天一早就到了，拿到手迫不及待的打开，机器约显笨重，甚至有点复古，不过这只是外表，内在的东西才是它的价值所在，开机，设置，完成，机器没得说，流畅的一流，游戏下载中，期待它的表现。,0,该店铺购买≥2次,5,16G,1T,UNK
1702,语***卿,2025-12-06,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,联想拯救者Y7000 AI高静版是一款配置均衡、性价比突出的游戏本。其搭载的酷睿Ultra7 255HX处理器和RTX 5060显卡，足以在2.5K分辨率下流畅运行主流3A大作和电竞网游。“AI高静”散热系统有效平衡了性能与噪音，体验良好。结合国家补贴后，能以约7000元的价格入手，这在一线品牌中非常具有竞争力，是兼顾游戏、创作与未来AI应用的务实之选。,0,否,5,16G,1T,UNK
1703,夏***1,2025-12-31,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,外观真帅，沉稳大气又时尚有活力，各方面设计静”福后一流的水准，用料扎实，配冒拉满，游戏點薯與后、都是一流的体验。京东的旗舰店也相当可靠，买过来也按网上走了一波验机流程，显得有点多此一举了，当然全新机了。大家喜欢的就锁定店铺与产品，及时入手，早买早享受,0,否,5,16G,1T,UNK
1704,jd_f36101,2025-12-30,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,电脑外观简约大方，性能强劲，使用起来很顺手，电脑屏幕非常清晰，色彩鲜艳，电脑键盘手感非常好，而且按键反应灵敏.电脑音响效果非常出色，声音清晰，音量大，很好的购物体验.,0,否,5,16G,1T,UNK
1705,ZanderChan,2025-11-27,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,电脑科技感很强，包装很精致，物流也很快，电脑打开很流畅，我很喜欢这个电脑很满意。,0,否,5,16G,1T,UNK
1706,jd_RDRCOKuvNffX,2025-11-24,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,性能卓越，外观完美，大小正合适，玩游戏非常流畅，运营速度快。,0,该店铺购买≥2次,5,16G,1T,UNK
1707,沐***-,2025-11-23,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,颜值超预期，开机速度快，屏幕色彩很舒服，久看也不累眼，键盘手感轻盈，打字很流畅。,0,否,5,16G,1T,UNK
1708,小海123123123,2026-01-25,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,拯救者Y7000性能强劲，运行流畅，散热优秀，外观简约大气，屏幕清晰，使用体验非常满意，性价比高。,0,该店铺购买≥2次,5,16G,1T,UNK
1709,曼巴lovexjr,2025-12-14,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,电脑收到后验机结论都不错，使用起来体验感也挺好的！,0,否,5,16G,1T,UNK
1710,jd_o74d37enx0oyek,2025-11-05,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,包装很好，电脑表面显示清晰，还送了U盘，键盘，鼠标。店家不错都来买。,0,否,5,16G,1T,UNK
1711,W***3,2025-12-09,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,第一次买游戏本，收到宝贝后用了一段时间才来评价，感觉还不错，继续支持京东,0,否,5,16G,1T,UNK
1712,baby琛哥,2025-10-22,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,这款电脑性能超给力，开机秒速，多任务运行丝滑不卡顿，办公娱乐都顺手，太值了！电脑真没买错，运行稳定不发热，响应迅速，满足日常需求绰绰有余，推荐购买！电脑体验感拉满，配置够用，机身轻薄便携，散热好,1,该店铺购买≥2次,5,16G,1T,UNK
1713,6***9,2025-10-21,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,买的预定，但提前一周就收到了，很惊喜，笔记本颜值很酷，开机很快，三角洲流畅运行，办公游戏无压力,0,该店铺购买≥2次,5,16G,1T,UNK
1714,9***s,2025-11-13,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,包装保护：和你严实外形外观：好好好画面品质：好好好运行速度：很快游戏效果：好好好这款电竞笔记本真是太棒了！键盘灯光炫酷??，整体性能非常强大，运行速度快得飞起??。特别适合打游戏，画质也很不错！,0,否,5,16G,1T,UNK
1715,j好好好对对d,2025-11-01,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐感觉实物比图片更好看，价格和质量成正比，这次购物非常满意，喜欢的宝宝赶紧下手真心觉得这次购物太棒了，商品性价比超高，质量可靠。物流高效，商家服务贴心，售后让人满意。商品品质非常有保障，使用过程中没有出现过任何问题，非常满意。,0,该店铺购买≥2次,5,16G,1T,UNK
1716,jd_6k46g3b2s5x7sl,2025-11-06,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,包装保护：非常好，有两层包装，外观特别帅，黑色很酷，拿在手里很有分量，看起来也很高级。,0,否,5,16G,1T,UNK
1717,jd_al20p040f9833v,2025-11-10,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,联想拯救者Y7000是一款在6000元价位段表现均衡的“性能水桶机”，尤其适合预算有限的学生和游戏玩家?，推荐大家购买，如果能有银色或白色就好了,0,否,5,16G,1T,UNK
1718,jd131239lky,2025-11-09,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,效果不错，质感很好，不愧是一线品牌，没有让我失望，给你点32个赞,0,否,5,16G,1T,UNK
1719,957v11wmxd57z3,2025-12-04,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,颜值巨高，游戏顺畅。经过多方对比，选择了后一线笔记本联想拯救者。不亏静音笔记本，风扇声音不大。宝宝可以安心睡觉性能很好，游戏流畅，办公力量拉满，颜值巨高。一次成功购物,0,该店铺购买≥2次,5,16G,1T,UNK
1720,j***x,2025-11-12,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,非常满意的购物体验，产品外观时尚，质量上乘，性价比高，物流快速，商家服务周到。包装非常结实，东西保护得很好，值得好评，宝贝收到啦，实物真的好看，价格非常实惠，强烈推荐这款，超级喜欢～,0,否,5,16G,1T,UNK
1721,2***q,2026-01-01,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,屏幕质量很棒，色彩还原精准，对比度高，画面清晰无瑕疵。与商品描述完全相符，物流快，客服服务周到，性价比相当不错，值得购买。,0,否,5,16G,1T,UNK
1722,3ilf53ddp6t6gx,2026-01-01,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,屏幕质量很棒，色彩还原精准，对比度高，画面清晰无瑕疵。与商品描述完全相符，物流快，客服服务周到，性价比相当不错，值得购买。,0,否,5,16G,1T,UNK
1723,Pauloou,2025-10-31,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,笔记本收到了，保护的很好，性能强悍，啥游戏都能玩，可以玩3A大作了,0,否,5,16G,1T,UNK
1724,jd_186865aog,2025-11-08,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,双十一纠结很久，最终选定7000-梦中情本，价格合适运行丝滑。,0,该店铺购买≥2次,5,16G,1T,UNK
1725,酸奶盖1,2025-11-07,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,京东物流超快，包装安全，机器质量手感好，运行稳定，屏幕大小合适,0,否,5,16G,1T,UNK
1726,6mw64t3yt9tozk,2025-12-05,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,性能强劲运行流畅，散热系统稳定高效，2.5K高刷屏画质细腻。游戏玩家与设计工作者的高效生产力工具！特别认可该机型的性能表现，对散热系统和屏幕素质表示满意。散热特别靠谱，长时间开高画质玩游戏。,0,否,5,16G,1T,UNK
1727,jd_ipg9k4781y6z54,2025-11-11,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,比之前电脑轻，手感可以，外观接口够用，电脑三种模式可以供选择，售后网点多，不卡顿,0,否,5,16G,1T,UNK
1728,珠海华粤,2026-01-10,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,联想Y7000p性能硬核，散热强劲，144Hz电竞屏带来畅爽体验。设计简洁，做工扎实，是兼顾游戏与生产力的高性价比之选。,0,该店铺购买≥2次,5,16G,1T,UNK
1729,1bj737f4i7550o,2025-11-15,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,联想笔记本电脑，大品牌，质量好，做工精细，外观时尚，很漂亮，联想拯救者，配置高，运行各种软件都很快，屏幕很清晰，运行声音很小，很安静。京东下单，放心，送货很快，包装很好。很喜欢。,1,否,5,16G,1T,UNK
1730,多多请多吃饭,2026-01-05,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,搞活动的时候买的，价格还可以，不太了解电脑，问了身边的人，都比较推荐这个，用了一段时间，还不错，很满意,0,否,5,16G,1T,UNK
1731,m2ybav4hxd8m17,2025-10-26,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,打游戏不卡顿就选y7000p，看朋友都用这个，平常文件也比较好用。,0,该店铺购买≥2次,5,16G,1T,UNK
1732,jd_t6i4n4s5k9om9t,2025-12-06,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,1.性能散热双优:i9+5070超抗打，单条197万跑分，确后2.配置体验满分:新机(8.19产)验机无瑕疵，音效赞，高负载散热稳、低负载安静，i9+5070太够用~3.闭眼入推荐:197万跑分+84°C双烤温度，散热静音兼顾，音效满意，第二天到货无问题，值,2,该店铺购买≥2次,5,16G,1T,UNK
1733,d49ujtsf64h0u2,2025-12-01,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,包装保护：非常好外形外观：这款产品真的超乎期待，运行流畅不卡顿，散热也很快，长时间游戏也没问题???? 外观设计简洁大气，拿在手里很有质感? 包装严实，物流也很给力?? 总体非常满意～??,0,否,5,16G,1T,UNK
1734,囚见囚爱,2025-11-17,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,心仪了很久的笔记本，双十一优惠力度很大，果断入手了，好评,0,该店铺购买≥2次,5,16G,1T,UNK
1735,8***z,2026-01-21,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,质量上乘：产品质量非常好，超出了我的预期！服务周到：客服服务态度很好，解答问题耐心细致。物流迅速：发货速度很快，包装也很结实，非常满意！性价比高：价格实惠，品质优良，性价比超高！值得信赖：多次购买，每次都满意，值得信赖的品牌！,0,该店铺购买≥10次,5,16G,1T,UNK
1736,O***7,2025-11-20,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,机子质量没有问题的，做工OK，使用起来还是挺满意的，玩游戏也流畅。就是感觉自己当时买早了一点，结果后面补贴的时候又不能进行价保。不过这个属于是政策的问题了，跟机子质量没有关系。,0,该店铺购买≥2次,5,16G,1T,UNK
1737,jd_aunzn3p8mxkl2a,2025-12-13,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,颜值很高 使用很流畅 Y7000的种类和大小也比较适合我们出差人士 重量不算重 大小也合适。偶尔做些算法ULTRA7处理器也很流畅 也都够用 乘着双十二赶紧入手一波 非常满意的一次电脑,0,该店铺购买≥2次,5,16G,1T,UNK
1738,jd_x739s0c2bvje8u,2025-11-29,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,电脑到手后用了几天，电脑运行游戏不卡，画质细腻，画面体验舒服。闭眼冲！,0,该店铺购买≥2次,5,16G,1T,UNK
1739,j***v,2025-12-08,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,惊艳！新电脑设计轻薄有质感，开机秒速响应，4K屏色彩生动。性能强悍却安静，续航持久满足全天移动办公。从细节到体验都充满匠心，真正实现了高效与美学的完美平衡。强烈推荐！,0,否,5,16G,1T,UNK
1740,j***5,2025-12-20,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,早就想买这个笔记本了，蹭着国补立马拿下，速度特别快，性能强悍,0,该店铺购买≥2次,5,16G,1T,UNK
1741,0h8a913um9m0up,2026-01-01,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,屏幕质量很棒，色彩还原精准，对比度高，画面清晰无瑕疵。与商品描述完全相符，物流快，客服服务周到，性价比相当不错，值得购买。,0,否,5,16G,1T,UNK
1742,jd_408wc0whtbmq3v,2025-11-23,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,做了很久的攻略，还是决定购买这款，今天到货了很好，包装的很严实，效率很好,0,否,5,16G,1T,UNK
1743,jd_46fq1w8za2yf4d,2025-12-15,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,全新正品安全下车绝对的正品还能保证是全新的太棒好这个价格太好了,0,否,5,16G,1T,UNK
1744,j***3,2026-01-04,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,电脑已经收到，按照正常流程进行开机，目前运行正常，后续需要安装一些软件后再看运行情况，打开抖音音质和画面还是比较清晰的。,0,否,5,16G,1T,UNK
1745,郑***庆,2025-11-05,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,这款联想Legion笔记本电脑真的超级酷炫！??性能强劲，外观设计非常时尚现代感十足，特别是屏幕效果超赞，玩游戏非常流畅??。无论是办公还是娱乐，都是绝佳的选择！强烈推荐给大家！?,0,该店铺购买≥2次,5,16G,1T,UNK
1746,金***员,2025-10-26,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,包装很严实，物流特别快，颜值高性能强劲运行流畅，搭配2.5K高刷屏及RTX5060显卡，游戏玩家和专业设计用户的理想选择！运行大型游戏毫无压力，散热出色，外观酷炫，体验感拉满，好评！,0,否,5,16G,1T,UNK
1747,尼古丁真小马珍珠,2026-01-06,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,这是第n次在网上买东西啦，棒棒棒东西便宜，而且质量又好，物美价廉，买的放心，用的开心。根本停不下来，东西品种多，而且又特别划算方便而且实惠，包装很好，而且没有任何。损坏会一直支持下去。服务很好，也很好用。好评，下次再来。,0,该店铺购买≥2次,5,16G,1T,UNK
1748,瀚海蓝天啊,2025-11-04,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,开箱整体看还不错，作为一个多年的FPS游戏玩家，Y7000在游戏方面的表现超出了我的预期。16：10的屏幕比例带来了更窄的下边框，游戏视野更沉浸。高色域让游戏世界的色彩非常鲜艳真实。,0,该店铺购买≥2次,5,16G,1T,UNK
1749,素冷,2025-12-29,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,刚开始收到时候发现屏幕买错了，是15.3英寸，但是因为是外接显示屏倒是不影响使用。中间有点小问题，售后技术部客服都有耐心的解决了，目前玩游戏什么的都不影响,0,否,5,16G,1T,UNK
1750,jd_158022rkl,2025-12-24,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,非常满意的一次体验！初次尝试就带来了意想不到的惊喜，效果超乎预期。产品品质和服务都让人印象深刻，未来一定会持续关注并支持。真心推荐给大家，期待未来更多惊喜！,0,该店铺购买≥2次,5,16G,1T,UNK
1751,东***6,2025-10-27,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,非常好用，性能很强，不愧是联想拯救者，键盘手感也很好，买的很值,0,该店铺购买≥2次,5,16G,1T,UNK
1752,jd_153338kqe,2025-10-27,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,新平台不错，朋友的14650，我感觉好很多，新加Ai真的太棒了,0,否,5,16G,1T,UNK
1753,故事很短zhy,2025-11-13,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,一直用的都是联想，外观漂亮!性价比高!开机快!运行流畅!反应快!屏幕显示很好，色彩鲜艳清晰!重量适中，携带方便!大品牌，超长质保，质量有保证!????????????????,0,否,5,16G,1T,UNK
1754,jd_nwbve7ogruwe3h,2025-11-30,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈好好好好哈哈哈哈哈,0,否,5,16G,1T,UNK
1755,jd_185887vnq,2025-11-04,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,CPU运行速度非常快。玩游戏多开任务也不卡。外观也非常漂亮,0,否,5,16G,1T,UNK
1756,jd_186472ovf,2025-11-02,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,包装保护：包装完好无损外形外观：非常好外观设计非常漂亮运行速度：很快画面品质：非常不错值得购买推荐大家入手游戏本电脑很适合入手尤其是大学生主要是用电脑的专业性价比很高真心推荐,0,否,5,16G,1T,UNK
1757,nv07fum181ghom,2025-11-07,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,很好呀 售后也很给力 客服态度很好 目前使用还是可以的 配置也够用了 很喜欢,0,该店铺购买≥2次,5,16G,1T,UNK
1758,h***h,2025-12-21,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,这款拯救者，办公时静音模式，建模时均衡模式都非常静音，渲染时用野兽模式效率高；不到16寸的屏幕，重2kg刚刚好，兼顾了性能和携带的便利性，生产力神器，非常好的产品，非常好的选择。,0,该店铺购买≥2次,5,16G,1T,UNK
1759,淼***鑫,2025-10-24,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,果然还得是拯救者，就是不一样。运行流畅，质量杠杠的。物超所值！,0,该店铺购买≥2次,5,16G,1T,UNK
1760,滚烫的梅花肉,2025-11-29,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,包装保护：包装的很好。快递送过来外面还有箱子外形外观：非常漂亮。而且很轻巧。便于携带画面品质：画质很高。180hz看起来很舒服游戏效果：一点都不卡。玩游戏随便玩,0,该店铺购买≥2次,5,16G,1T,UNK
1761,三***技,2025-11-19,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,第二次买拯救者系列的，U7新款+5060，一定行。,0,否,5,16G,1T,UNK
1762,u***a,2025-11-02,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,价格性价比高，尺寸合适，打游戏一流，开机速度很快，个人很喜欢灯光效果不错散热好,0,该店铺购买≥2次,5,16G,1T,UNK
1763,jd_seWSARUeXHum,2025-11-24,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,拯救者Y7000真的是闭眼入的好选择！外观简约大气，商务、娱乐场景都能hold住。处理器性能强劲，搭配独立显卡，游戏体验超棒，画面流畅无卡顿。散热系统靠谱，机身不会过度发热。键盘布局合理，按键回弹有力，打字效率高。京东物流速度绝了，售后政策透明，有问题能及时处理。这个配置这个价格，性价比直接拉满，非常推荐！,0,否,5,16G,1T,UNK
1764,630l10arb72glb,2025-11-08,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,整个电脑十分好用，没有卡顿，功能齐全，十分酷炫，性价比高强烈推荐购买！！！,0,否,5,16G,1T,UNK
1765,君***心,2025-11-26,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,U7-255HX，8大核12小核，CPU性能强劲。RTX5060笔记本显卡，畅玩游戏。2.5K 180Hz 400nit屏幕，显示效果优秀。内吹散热，体验很好。,0,该店铺购买≥2次,5,16G,1T,UNK
1766,粉面菜蛋__和谐x3139,2025-10-22,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,电脑是最新款，东西挺好的，是全新未拆封的新机，外观好看，好用，送了办公软件，挺好的,0,否,5,16G,1T,UNK
1767,l***8,2025-11-16,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,给小孩买的，赶上了国家补贴，生在中国真的幸福，好像名额还特别难抢，这款笔记本是一个专业学电脑的海外留学生推荐的，并且告诉我特别保值，第一天看上以后，第二天竟然没货了，如果有需要的朋友可以购买。,0,否,5,16G,1T,UNK
1768,j***w,2025-11-16,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,这台电脑使用体验非常好，物流非常快，第二天就送到了，非常满意的一次购物,0,该店铺购买≥2次,5,16G,1T,UNK
1769,躁***红,2025-11-09,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,使用体验非常流畅，游戏笔记本电脑的性能出色，图形处理能力强，运行大型游戏毫无压力。键盘手感舒适，散热系统高效。总体评价：强烈推荐给游戏爱好者，性价比高，是游戏玩家的理想选择。,0,否,5,16G,1T,UNK
1770,jd_132379gdp,2025-10-20,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,联想拯救者电脑外观很酷，手感很棒，做工精细，一如既往的好品质。,0,否,5,16G,1T,UNK
1771,王建华___1,2025-11-03,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,产品质量上乘，细节处理精致，使用体验极佳，物超所值，强烈推荐给需要的朋友们。这宝贝质量杠杠滴??，细节处理太精致了，边边角角都打磨得超光滑，用起来体验感直接拉满??！从包装到实物都透着用心，完全超出预期，这价格能买到真是赚到啦??！性价比绝绝子，必须安利给身边所有需要的小伙伴，闭眼入不踩雷??！,0,该店铺购买≥2次,5,16G,1T,UNK
1772,c4z4q5x29cvx0v,2025-11-11,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,国补资格终于抢到了，非常感谢客服在此期间的耐心帮助，详细的介绍了国补领取方法细则，以及支付注意事项。到货后包装完好，整机外观无瑕疵，y7000p u7版很静音，性能很强劲。,0,否,5,16G,1T,UNK
1773,jd_180780mlj,2025-10-24,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,朋友推荐的联想拯救者，这一款4060独立显卡，英特尔7处理器是中高配的，外观很时尚。金属壳很有质感，接口齐全，按键舒适，机器开机快，自带Winl1的系统也很好用，反应灵敏，是正品。,0,该店铺购买≥2次,5,16G,1T,UNK
1774,l13632,2025-10-27,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,到手质感很好，PD快充便捷，接口丰富，游戏办公全能，日常使用很安静，物超所值！,0,否,5,16G,1T,UNK
1775,董多多天后,2025-10-31,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,强力推荐，游戏办公都非常出色1功能强大物流非常给力，有喜欢的小伙伴快快下手吧,0,该店铺购买≥2次,5,16G,1T,UNK
1776,jd_31c148rhimurlj,2025-11-21,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,产品质量很好，物流迅速，快递表面无损坏，并且有快递员亲自登门递送。,0,否,5,16G,1T,UNK
1777,阳光滋呐补,2025-11-03,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,包装保护：包装保护完整，无瑕疵画面品质：画质清晰运行速度：不卡顿非常好,0,否,5,16G,1T,UNK
1778,ORG_TT,2025-10-30,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,快递真的非常快，第二天直接到货，真的是爱不释手。 包装保护：包装完好，封条完好； 外形外观：外观时尚，潮流，喜欢； 画面品质：画面高清，显示非常好，视觉效果很好；验机一切正常，就是缺点：特别粘指纹,1,该店铺购买≥2次,5,16G,1T,UNK
1779,白***鏡,2025-11-24,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,物流速度很快，早上买，下午就到了。开机很快。基本游戏都玩的起来。,0,该店铺购买≥2次,5,16G,1T,UNK
1780,不送货上门就不要发,2026-01-22,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,买来工作加打游戏，尺寸非常适合我，电脑不卡，处理速度。十分流畅，屏幕很清楚，非常满意,0,否,5,16G,1T,UNK
1781,靳***二,2025-12-02,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,非常好，快，无论游戏还是工作，速度非常好,0,否,5,16G,1T,UNK
1782,c***c,2026-01-24,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,性能很强，玩大型游戏没问题。不过风扇在全速运行时声音还是比较明显的，键盘中间区域会发热，但能接受。屏幕是180Hz不是顶配的240Hz，但实际观感和流畅度已经非常出色了。作为游戏本，它的表现符合我的预期。,0,该店铺购买≥2次,5,16G,1T,UNK
1783,qa01dcep001df1,2025-11-10,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,包装完整，运行流畅，风扇声音小，外观时尚，总体满意,0,该店铺购买≥2次,5,16G,1T,UNK
1784,jd_13kts720bdc53d,2025-12-04,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,非常稳定 鲁大师180万?，用了快一个月 一直开着没死过机,0,否,5,16G,1T,UNK
1785,u***c,2025-12-20,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,本子外观设计比较完美，配置爆表，运行流畅值得购买，,0,该店铺购买≥2次,5,16G,1T,UNK
1786,u_v62qc9k11l9n,2025-11-06,全能电竞Y7000 【新】U7-255HX/RTX5060/16G 1T,丝滑不卡顿，下单收货速度快，已配好支架，很有质感！,0,该店铺购买≥2次,5,16G,1T,UNK
